Number,Type,Location,City,State,Zip,Phone,latitude,longitude,
8280,c,10170 N McCarren Blvd,Reno,NV,89503,(775) 746-0336,39.5381,-119.864,0
8281,c,1801 Silverada Blvd,Reno,NV,89512,(775) 359-1307,39.5455,-119.783,0
8282,c,85 Damonte Ranch Pkwy,Reno,NV,89521-2996,(775) 852-7633,39.4197,-119.755,0
8283,c,1400 E Prater Way,Sparks,NV,89434,(775) 355-1119,39.5421,-119.718,0
8284,c,200 S Mississippi,Ada,OK,74820,(580) 332-1600,34.7733,-96.6697,0
8285,c,804 West Petree Road,Anadarko,OK,73005,(405) 247-7651,35.0578,-98.2446,0
8286,c,1608 N Commerce,Ardmore,OK,73401,(580) 223-8822,34.1921,-97.1428,0
8287,c,10305 S Memorial Dr,Bixby,OK,74008,(918) 369-4536,36.0026,-95.8867,1
8288,c,900 N Aspen Dr,Broken Arrow,OK,74012,(918) 251-8024,36.0601,-95.8155,0
8289,c,611 W Patti Page,Claremore,OK,74017,(918) 342-2545,36.3118,-95.617,0
8290,c,81 N I St # 1235,Duncan,OK,73533,(580) 255-4445,34.5016,-97.9362,0
8291,c,1305 W Main St.,Durant,OK,74701,(580) 924-7340,33.9941,-96.3903,0
8292,c,3232 S Broadway,Edmond,OK,73013-4035,(405) 348-2689,35.6239,-97.4859,0
8293,c,2510 S Country Club,El Reno,OK,73036,(405) 262-7191,35.5097,-97.9729,0
8294,c,1802 W 3rd St,Elk City,OK,73644,(580) 225-7631,35.4116,-99.4257,0
8295,c,500 N Van Buren,Enid,OK,73703-4455,(580) 237-2917,36.401,-97.8904,0
8296,c,501 S Division St,Guthrie,OK,73044-4824,(405) 282-6804,35.8738,-97.4255,0
8297,c,1306 Memorial Dr,Marietta,OK,73448-1605,(580) 276-4979,33.9403,-97.1298,0
8298,c,423 S George Nigh Expy,McAlester,OK,74501,(918) 426-5088,34.9139,-95.7456,0
8299,c,7900 E Reno Ave,Midwest City,OK,73110-4313,(405) 736-6043,35.464,-97.3896,0
8300,c,120 Sw 19th St,Moore,OK,73160,(405) 799-9208,35.3199,-97.4872,0
8301,c,600 N.W. 32nd Street,Newcastle,OK,73065-6329,(405) 387-4400,35.2908,-97.613,0
8302,c,731 W Main St,Norman,OK,73069-6918,(405) 329-3360,35.2185,-97.4536,0
8303,c,1101 24th Ave Nw,Norman,OK,73069,(405) 364-9745,35.2318,-97.4802,0
8304,c,112 Nw 23rd St,Oklahoma City,OK,73103,(405) 528-1720,35.4931,-97.5141,0
8305,c,4001 N Portland,Oklahoma City,OK,73112-6368,(405) 942-6013,35.5116,-97.5836,0
8306,c,2901 Sw 44th,Oklahoma City,OK,73119,(405) 685-6292,35.4208,-97.5657,0
8307,c,2323 N Mac Arthur,Oklahoma City,OK,73127,(405) 789-0255,35.4926,-97.6192,0
8308,c,841 South West 89th Street,Oklahoma City,OK,73139,(405) 632-7261,35.3772,-97.5281,0
8309,c,12320 N Macarthur Blvd,Oklahoma City,OK,73142-3001,(405) 728-0854,35.595,-97.6205,0
8310,c,7448 S Pennsylvania,Oklahoma City,OK,73159,(405) 682-6183,35.392,-97.5477,0
8311,c,201 S Mill,Pryor,OK,74361,(918) 825-2611,36.3042,-95.3197,0
8312,c,503 West Washington Road,Purcell,OK,73080,(405) 527-9595,35.0139,-97.3663,0
8313,c,1120 Charles Page Blvd,Sand Springs,OK,74063,(918) 241-2958,36.1369,-96.1005,1
8314,c,5722 S 49th West Ave,Sapulpa,OK,74066,(918) 445-0075,35.9886,-96.0475,1
8315,c,1010 Milt Phillips Ave,Seminole,OK,74868-2320,(405) 382-3166,35.2322,-96.6709,0
8316,c,2333 N Harrison,Shawnee,OK,74804-3134,(405) 275-2344,35.3538,-96.912,0
8317,c,900 W. Rogers,Skiatook,OK,74070,(918) 396-0308,36.3687,-96.0119,0
8318,c,310 N Perkins Rd,Stillwater,OK,74075,(405) 624-1501,36.1258,-97.0516,0
8319,c,2104 W Broadway,Sulphur,OK,73086,(580) 622-3525,34.5064,-96.9947,0
8320,c,4994 E 41st Street,Tulsa,OK,74135-6006,(918) 664-1760,36.1042,-95.9206,0
8321,c,925 E Main St,Weatherford,OK,73096,(580) 772-7496,35.5262,-98.6968,0
8322,c,1109 Waverly Drive Se,Albany,OR,97322-6942,(541) 967-3910,44.6319,-123.073,0
8323,c,300 Airport Rd Se,Albany,OR,97322-4505,(541) 791-8822,44.6413,-123.066,0
8324,c,9375 Beaverton Hillsdale Hwy.,Beaverton,OR,97005-3360,(503) 291-2594,45.4866,-122.773,0
8325,c,2175 Nw Town Center Dr,Beaverton,OR,97006,(503) 645-7194,45.5348,-122.866,0
8326,c,1815 Ne 3rd Street,Bend,OR,97701-3816,(541) 617-8556,44.0679,-121.303,0
8327,c,1190 S Highway 97,Bend,OR,97702-2140,(541) 312-8998,44.0367,-121.304,0
8328,c,112 Memorial Un,Corvallis,OR,97331-8514,(541) 737-2275,44.5656,-123.278,0
8329,c,1565 Gateway Blvd,Cottage Grove,OR,97424,(541) 942-8280,43.8041,-123.046,0
8330,c,686 E. Broadway,Eugene,OR,97401,(541) 343-6135,44.0498,-123.082,0
8331,c,296 Coburg Road,Eugene,OR,97401,(541) 338-8880,44.0659,-123.074,0
8332,c,3663 West 11th Avenue,Eugene,OR,97402-3044,(541) 485-4234,44.0481,-123.147,0
8333,c,25 Silver Lane,Eugene,OR,97404-2214,(541) 461-6814,44.0957,-123.129,0
8334,c,1700 N.E. 6th Street,Grants Pass,OR,97526,(541) 474-0649,42.4581,-123.323,0
8335,c,1101 Grants Pass Parkway,Grants Pass,OR,97526,(541) 474-0145,42.4368,-123.307,0
8336,c,1678 N E Burnside St,Gresham,OR,97030-5733,(503) 465-0607,45.503,-122.416,0
8337,c,18225 Se Stark St,Gresham,OR,97030,(503) 465-9800,45.5191,-122.454,1
8338,c,6653 Se Tualatin Valley Hwy,Hillsboro,OR,97123-7492,(503) 649-3722,45.4987,-122.913,0
8339,c,575 S.E. 10th Ave.,Hillsboro,OR,97123-4624,(503) 693-6201,45.5166,-122.974,0
8340,c,7120 N.E. Cornell Road,Hillsboro,OR,97124-5421,(503) 547-0262,45.5383,-122.904,0
8341,c,5130 River Rd. Ne,Keizer,OR,97303,(503) 390-9227,44.9989,-123.026,0
8342,c,2655 Shasta Way,Klamath Falls,OR,97603,(541) 883-7559,42.2139,-121.756,0
8343,c,525 Weldwood Dr,Lebanon,OR,97355,(541) 258-5257,44.5159,-122.906,1
8344,c,61 Stewart Ave,Medford,OR,97501,(541) 779-0631,42.3128,-122.862,0
8345,c,19761 Highway 213,Oregon City,OR,97045,(503) 723-3346,45.3164,-122.574,1
8346,c,508 S W Taylor,Portland,OR,97204,(503) 224-2356,45.5174,-122.679,0
8347,c,1403 Ne 102nd Ave,Portland,OR,97220-3968,(503) 254-1985,45.533,-122.558,0
8348,c,14836 S. E. Division,Portland,OR,97236,(503) 762-2544,45.5041,-122.51,0
8349,c,8205 S. E. Rhine,Portland,OR,97266,(503) 788-8721,45.497,-122.578,0
8350,c,10100 South East 82nd Avenue,Portland,OR,97266-7306,(503) 772-0177,45.4501,-122.579,0
8351,c,12000 Se 82nd Ave Ste 2109,Portland,OR,97266-7749,(503) 786-9119,45.4364,-122.579,0
8352,c,2035 Stewart Parkway,Roseburg,OR,97470,(541) 673-8009,43.2321,-123.373,0
8353,c,1501 Lancaster Blvd,Salem,OR,97301,(503) 391-0500,44.9114,-122.979,0
8354,c,1135 Lancaster Ave. S.E.,Salem,OR,97301,(503) 371-4100,44.9149,-122.98,0
8355,c,1450 Baxter Road,Salem,OR,97306-1148,(503) 362-7177,44.8774,-123.026,0
8356,c,3000 Gateway St Space 918,Springfield,OR,97477,(541) 746-0907,44.0765,-123.042,0
8357,c,1900 Marcola Road,Springfield,OR,97477,(541) 726-9383,44.0645,-122.996,0
8358,c,3032 Gateway St,Springfield,OR,97477-1087,(541) 747-2275,44.0768,-123.042,0
8359,c,12140 Sw Scholls Ferry Road,Tigard,OR,97223-3334,(503) 579-8250,45.4439,-122.802,0
8360,c,15520 Sw Pacific Highway,Tigard,OR,97224-3522,(503) 684-7076,45.4078,-122.795,0
8361,c,8703 S.W. Tualatin Sherwood Hwy,Tualatin,OR,97062,(503) 691-2190,45.3813,-122.765,0
8362,c,17929 S.W. McEwan Road,Tualatin,OR,97062,(503) 598-9500,45.3725,-122.766,0
8363,c,1701 S. Highway 75,Anna,TX,75409,(972) 924-3934,33.3088,-96.5896,0
8364,c,7395 E 14th St,Brownsville,TX,78521-6953,(956) 838-5099,25.9428,-97.4293,0
8365,c,8800 S. Polk St.,Dallas,TX,75232,(972) 224-3469,32.6412,-96.8398,0
8366,c,3100 N Mesa St Ste A,El Paso,TX,79902-2325,(915) 544-0606,31.7806,-106.505,0
8367,c,7120 Airport Road,El Paso,TX,79906-4909,(915) 772-2943,31.8181,-106.404,0
8368,c,9071 Alameda,El Paso,TX,79907,(915) 790-9964,31.6917,-106.327,0
8369,c,1490 N Zaragosa Rd,El Paso,TX,79936-7903,(915) 921-1504,31.7373,-106.292,0
8370,c,1898 N Lee Trevino Dr,El Paso,TX,79936-4108,(915) 595-0924,31.7688,-106.319,0
8371,c,2500 S I-45 Service Rd,Hutchins,TX,75141,(972) 225-3560,32.6416,-96.7042,0
8372,c,10519 McPherson Rd,Laredo,TX,78045-6495,(956) 725-8491,27.6001,-99.4798,0
8373,c,400 E Nolana Loop,McAllen,TX,78504-2580,(956) 687-1119,26.2376,-98.2095,0
8374,c,1990 E I30,Rockwall,TX,75087,(972) 722-3068,32.919,-96.4191,0
8375,c,1221 S Oak,Van,TX,75790,(903) 963-3306,32.5079,-95.6431,0
8376,c,11361 S. Ih35,Von Ormy,TX,78073-3101,(210) 623-5516,29.3107,-98.6164,0
8377,c,1304 Broad,Wichita Falls,TX,76301,(940) 322-7790,33.9028,-98.4953,0
8378,c,2053 Loop 11,Wichita Falls,TX,76306-4919,(940) 855-1771,33.9453,-98.5325,0
8379,c,"602 South, 500 East",American Fork,UT,84003-2530,(801) 492-3944,40.3647,-111.786,0
8380,c,195 West 500 South,Bountiful,UT,84010,(801) 294-6980,40.8842,-111.885,0
8381,c,2645 N Canyon Branch Dr,Cedar City,UT,84720,(435) 865-7407,37.7258,-113.131,0
8382,c,385 North 800 West,Centerville,UT,84014,(801) 294-7892,40.9211,-111.889,0
8383,c,582 N Main Street,Clearfield,UT,84015,(801) 773-4406,41.1222,-112.026,0
8384,c,12362 So Minuteman Drive,Draper,UT,84020-9261,(801) 495-0292,40.526,-111.889,0
8385,c,925 W Antelope Dr,Layton,UT,84041,(801) 773-9066,41.0891,-111.983,0
8386,c,1390 N Main,Logan,UT,84341,(435) 792-4841,41.7572,-111.834,0
8387,c,8011 West 3500 South,Magna,UT,84044-2218,(801) 508-0057,40.6964,-112.083,0
8388,c,6959 South 1300 East,Midvale,UT,84047,(801) 569-8990,40.6249,-111.855,0
8389,c,151 E 5300 S,Murray,UT,84107-6074,(801) 313-0768,40.6562,-111.887,0
8390,c,4729 Harrison Blvd.,Ogden,UT,84403-4304,(801) 475-0018,41.1774,-111.949,0
8391,c,180 East 12th Street,Ogden,UT,84404,(801) 399-9630,41.2445,-111.976,0
8392,c,1331 N State St,Orem,UT,84057,(801) 235-9030,40.3215,-111.706,0
8393,c,"1230 North, 300 West",Provo,UT,84601,(801) 370-9593,40.2507,-111.664,0
8394,c,1155 W Riverdale Road Unit A,Riverdale,UT,84405,(801) 394-1757,41.1753,-112.008,0
8395,c,1856 W 12600 S,Riverton,UT,84065-7026,(801) 302-1172,40.5224,-111.942,0
8396,c,136 Red Cliff Dr,St. George,UT,84790-8199,(435) 674-5622,37.112,-113.554,0
8397,c,1235 East 2100 South,Salt Lake City,UT,84106-2824,(801) 463-6901,40.7255,-111.856,0
8398,c,75 East 200 South,Salt Lake City,UT,84111-1914,(801) 355-9395,40.7652,-111.889,0
8399,c,293 W. 2100 South,Salt Lake City,UT,84115,(801) 467-2767,40.7253,-111.899,0
8400,c,1726 W North Temple,Salt Lake City,UT,84116-3043,(801) 333-3175,40.7716,-111.94,0
8401,c,10475 South State Street,Sandy,UT,84070,(801) 495-3929,40.5612,-111.891,0
8402,c,8635 S Highland Dr,Sandy,UT,84093-1695,(801) 453-9280,40.5941,-111.832,0
8403,c,770 N. Main Street,Spanish Fork,UT,84660,(801) 794-9249,40.1197,-111.655,0
8404,c,5596 S. Redwood Road,Taylorsville,UT,84123,(801) 965-1580,40.6496,-111.939,0
8405,c,1291 N Main St,Tooele,UT,84074-9842,(435) 843-5541,40.5569,-112.297,0
8406,c,7033 Plaza Center Dr,West Jordan,UT,84084-1762,(801) 260-1224,40.623,-111.979,0
8407,c,9025 South Redwood Road,West Jordan,UT,84088,(801) 352-1128,40.5871,-111.939,0
8408,c,3469 S Redwood Rd,West Valley City,UT,84119-3403,(801) 973-2964,40.6972,-111.939,0
8409,c,3535 West 3500 South,West Valley City,UT,84119-2539,(801) 966-1606,40.6965,-111.976,0
8410,c,3387 South 5600 West,West Valley City,UT,84120,(801) 965-8888,40.6982,-112.025,0
8411,c,2676 First Street,Cheney,WA,99004-2030,(509) 559-5000,47.5058,-117.565,0
8412,c,1026 N. Colorado,Kennewick,WA,99336-7618,(509) 735-4135,46.2199,-119.223,0
8413,c,2804 W. Kennewick Ave.,Kennewick,WA,99336-2926,(509) 374-5222,46.2096,-119.159,0
8414,c,1317 Liberty Lake Rd.,Liberty Lake,WA,99019-8523,(509) 926-3008,47.6668,-117.104,0
8415,c,1701 George Washington Way,Richland,WA,99354-2303,(509) 946-5344,46.2971,-119.275,0
8416,c,707 W. Third Avenue,Spokane,WA,99201-4416,(509) 455-9303,47.6534,-117.422,0
8417,c,N 6740 Division Street,Spokane,WA,99208-3942,(509) 487-3027,47.7191,-117.411,0
8418,c,423 E. Hastings Rd,Spokane,WA,99218-1934,(509) 467-3404,47.7694,-117.404,0
8419,c,5000 E. Fourth Plain Blvd Bldg H,Vancouver,WA,98661,(360) 694-0017,45.6407,-122.619,0
8420,c,7412 Ne 117th Ave,Vancouver,WA,98662-4705,(360) 256-7041,45.6766,-122.553,0
8421,c,9016 Ne Highway 99,Vancouver,WA,98665-8923,(360) 574-9200,45.688,-122.66,0
8422,c,1404 S.E. 164th Avenue,Vancouver,WA,98683-9634,(360) 891-6031,45.6107,-122.504,0
8423,h,650 Ozark Road,Abbeville,AL,36310,(334) 585-6111,31.5509,-85.2876,0
8424,h,Hwy 31,Alabaster,AL,35007,(205) 663-1164,33.2319,-86.8114,0
8425,h,Us Hwy 431 S. Crossroads Mall,Albertville,AL,35950,(256) 878-7945,34.2619,-86.2286,0
8426,h,11024 Us Highway 431,Albertville,AL,35950-0124,(256) 878-3777,34.2975,-86.265,0
8427,h,1249 Cherokee Road,Alexander City,AL,35010,(256) 234-4191,32.9309,-85.9486,0
8428,h,1202 East Bypass,Andalusia,AL,36420,(334) 222-7315,31.2754,-86.5169,0
8429,h,1620 Quintard St,Anniston,AL,36201-3849,(256) 237-7559,33.6654,-85.8271,0
8430,h,2800 New Highway 202,Anniston,AL,36201,(256) 237-5759,33.6476,-85.8654,0
8431,h,5630 McClellan Blvd,Anniston,AL,36206,(256) 820-1672,33.7222,-85.8164,0
8432,h,Hwy 231 @ Northgate Dr,Arab,AL,35016,(256) 586-6848,34.3278,-86.4943,0
8433,h,534 East First Avenue,Ashland,AL,36251-7909,(256) 354-2051,33.2751,-85.8276,0
8434,h,South Jefferson & Hwy 72,Athens,AL,35611,(256) 232-8400,34.7899,-86.9716,0
8435,h,1327 Highway 72 East,Athens,AL,35612,(256) 232-5340,34.8048,-86.9821,0
8436,h,970 Gilbert Ferry Rd Se,Attalla,AL,35954-3338,(256) 538-0107,33.9972,-86.0938,0
8437,h,800 Wire Rd,Auburn,AL,36832-5836,(334) 887-6003,32.5901,-85.5091,0
8438,h,Bypass & D'olive St - Po Box 815,Bay Minette,AL,36507,(251) 937-2378,30.8692,-87.7785,0
8439,h,321 N Wintzell Ave,Bayou La Batre,AL,36509,(251) 824-2307,30.4224,-88.2444,1
8440,h,5113 Airport Highway,Birmingham,AL,35212,(205) 592-6706,33.547,-86.7579,0
8441,h,2146 Sweeney Hollow Road,Birmingham,AL,35215,(205) 854-3320,33.6542,-86.6479,0
8442,h,3908 Crosshaven Drive,Birmingham,AL,35243-5414,(205) 969-8169,33.4633,-86.7315,0
8443,h,Us 431 N & Williams St,Boaz,AL,35957,(256) 593-7366,34.2145,-86.1567,0
8444,h,U.S. Highway 72,Bridgeport,AL,35740,(256) 495-2181,34.9461,-85.7313,0
8445,h,499 West Troy Street,Brundidge,AL,36010-1200,(334) 735-3537,31.7203,-85.83,0
8446,h,109 E Pushmataha St,Butler,AL,36904,(205) 459-4240,32.09,-88.2211,0
8447,h,8441 Hwy 31 South,Calera,AL,35040,(205) 668-0402,33.1003,-86.753,0
8448,h,Hwy 10 & Al Hwy 41,Camden,AL,36726,(334) 682-4147,32.0101,-87.297,0
8449,h,1490 W. Main St. (Us Hwy 411),Centre,AL,35960,(256) 927-4545,34.157,-85.6994,0
8450,h,Us Hwy 280 & 2nd Street,Childersburg,AL,35044,(256) 378-5355,33.2803,-86.3606,0
8451,h,19765 N 3rd St,Citronelle,AL,36522,(251) 866-0325,31.1031,-88.2383,0
8452,h,2107 7th Street South,Clanton,AL,35045,(205) 755-4639,32.803,-86.5871,0
8453,h,712 Second Ave Nw,Cullman,AL,35055-2829,(256) 734-0069,34.1835,-86.8485,0
8454,h,1535 County Road 437,Cullman,AL,35055-0206,(256) 737-0056,34.1172,-86.862,0
8455,h,1626 7th Street Se,Decatur,AL,35601,(256) 350-9230,34.5912,-86.9679,0
8456,h,1708 Beltline Rd,Decatur,AL,35601-5510,(256) 350-5999,34.5706,-87.0134,0
8457,h,3241 Point Mallard Pkwy Se,Decatur,AL,35603-5707,(256) 353-2968,34.538,-86.9134,0
8458,h,2618 Hwy 31 South,Decatur,AL,35603,(256) 351-2521,34.5581,-86.9732,0
8459,h,125 Hwy 80 East,Demopolis,AL,36732,(334) 289-3090,32.4864,-87.8591,0
8460,h,2627 S Oates St,Dothan,AL,36301,(334) 793-6585,31.1898,-85.4013,0
8461,h,3471 Ross Clark Circle,Dothan,AL,36303-2579,(334) 794-2465,31.2445,-85.4294,0
8462,h,1086 Ross Clark Circle,Dothan,AL,36303-5425,(334) 793-5716,31.2171,-85.3613,0
8463,h,911 Ft Rucker Blvd,Enterprise,AL,36330,(334) 347-4922,31.3346,-85.8394,0
8464,h,Highway 208 & Mlk Blvd.,Eutaw,AL,35462,(205) 372-2283,32.9278,-87.9743,0
8465,h,Highway I-65 & 83 Rte 2,Evergreen,AL,36401,(251) 578-1983,31.4497,-86.8965,0
8466,h,25 S Greeno Road,Fairhope,AL,36532-2016,(251) 928-2855,30.522,-87.886,0
8467,h,Us 29 & Us 31 - P. O. Box 721,Flomaton,AL,36441,(251) 296-2362,31.0279,-87.244,0
8468,h,1113 East 5th Avenue,Florala,AL,36442,(334) 858-3711,31.0027,-86.3234,0
8469,h,202 Cox Creek Parkway,Florence,AL,35630,(256) 766-0347,34.8322,-87.6286,0
8470,h,1712 South McKenzie St,Foley,AL,36536,(251) 943-5960,30.3878,-87.6836,0
8471,h,2609 Gault Avenue,Fort Payne,AL,35967,(256) 845-3903,34.4653,-85.7008,0
8472,h,1502 Glenn Blvd Sw,Fort Payne,AL,35968-3521,(256) 845-4706,34.4375,-85.752,0
8473,h,1616 Decatur Highway,Fultondale,AL,35068,(205) 849-7010,33.6096,-86.797,0
8474,h,3106 East Meighan Blvd,Gadsden,AL,35903,(256) 492-0525,33.9722,-85.9492,0
8475,h,1303 W Maple Ave,Geneva,AL,36340-1643,(334) 684-6220,31.0477,-85.8921,0
8476,h,9400 Grand Bay Wilmer Rd,Grand Bay,AL,36541,(251) 865-5363,30.4949,-88.3363,0
8477,h,912 Fortdale Rd,Greenville,AL,36037,(334) 382-2352,31.8462,-86.6395,0
8478,h,837 Gulf Shores Parkway,Gulf Shores,AL,36542-5905,(251) 948-4232,30.2569,-87.6887,0
8479,h,5975 Highway 72 E,Gurley,AL,35748,(256) 776-4152,34.7007,-86.3859,0
8480,h,801 Hwy 13,Haleyville,AL,35565,(205) 486-9884,34.2339,-87.6259,0
8481,h,261 Bexar Ave,Hamilton,AL,35570,(205) 921-9108,34.1421,-87.9858,0
8482,h,702 Main Street Ne,Hanceville,AL,35077,(256) 352-2458,34.0484,-86.7571,0
8483,h,110 S State Highway 167,Hartford,AL,36344-6400,(334) 588-3234,31.0745,-85.6947,1
8484,h,680 Us Hwy 31 & Limestone St,Hartselle,AL,35640,(256) 773-0435,34.4441,-86.939,0
8485,h,Hwy 431 North & Church Street,Headland,AL,36345,(334) 693-2267,31.3536,-85.3271,0
8486,h,1885 Almon Street,Heflin,AL,36264,(256) 463-4652,33.6508,-85.5904,0
8487,h,921 Allison Bonnet Memorial Dr,Hueytown,AL,35023-1832,(205) 744-7983,33.4575,-86.9627,0
8488,h,202 Governors Dr,Huntsville,AL,35801,(256) 534-8512,34.7199,-86.5763,0
8489,h,2015 Drake Avenue,Huntsville,AL,35801,(256) 882-1639,34.7053,-86.5894,0
8490,h,300 Andrew Jackson Way,Huntsville,AL,35801,(256) 536-7713,34.7389,-86.5766,0
8491,h,9032 Memorial Parkway Sw,Huntsville,AL,35802,(256) 881-5661,34.6488,-86.567,0
8492,h,3000 A N Memorial Parkway,Huntsville,AL,35810-2402,(256) 852-1501,34.7633,-86.5886,0
8493,h,2800 College Avenue,Jackson,AL,36545,(251) 246-9265,31.5381,-87.8869,0
8494,h,400 Pelham Rd South,Jacksonville,AL,36265,(256) 435-9436,33.8111,-85.7611,0
8495,h,303 Hwy 78 & 3rd Ave,Jasper,AL,35501,(205) 387-8583,33.8286,-87.2764,0
8496,h,1819 Ashville Rd Ne,Leeds,AL,35094-7509,(205) 699-8110,33.5617,-86.5226,0
8497,h,701 N Washington St,Livingston,AL,35470-5409,(205) 652-9840,32.5967,-88.1831,0
8498,h,13151 North Hickory St,Loxley,AL,36551,(251) 964-6250,30.6427,-87.7607,0
8499,h,742 South Forest Avenue,Luverne,AL,36049,(334) 335-3864,31.7078,-86.2639,0
8500,h,8827 Hwy 20 W.,Madison,AL,35758,(256) 772-3270,34.6778,-86.7484,0
8501,h,5870 Wall Triana Hwy,Madison,AL,35758-9490,(256) 722-0220,34.7511,-86.75,0
8502,h,1215 Washington Street,Marion,AL,36756,(334) 683-4158,32.6214,-87.318,0
8503,h,611 Bessemer Super Hwy,Midfield,AL,35228-2118,(205) 925-7467,33.4527,-86.9231,0
8504,h,3691 Highway 14,Millbrook,AL,36054,(334) 285-0010,32.5167,-86.3762,0
8505,h,5701 Old Shell Rd,Mobile,AL,36608-3418,(251) 342-8214,30.6893,-88.1744,0
8506,h,6321 Cottage Hill Road,Mobile,AL,36609,(251) 660-7196,30.6401,-88.1889,0
8507,h,3715 Moffat Road,Mobile,AL,36618,(251) 343-3553,30.7095,-88.1263,0
8508,h,1608 South Alabama Road,Monroeville,AL,36460,(251) 575-2691,31.5065,-87.3192,0
8509,h,255 North Main Street,Montevallo,AL,35115,(205) 665-2406,33.1155,-86.8627,0
8510,h,1183 West South Blvd,Montgomery,AL,36105,(334) 281-7367,32.3281,-86.3409,0
8511,h,2675 Zelda Road,Montgomery,AL,36107,(334) 263-2637,32.3642,-86.2689,0
8512,h,5401 Atlanta Hwy,Montgomery,AL,36109-3325,(334) 272-1191,32.3821,-86.2145,0
8513,h,1041 Perry Hill Road,Montgomery,AL,36109,(334) 244-8989,32.3662,-86.244,0
8514,h,1115 Coliseum Blvd,Montgomery,AL,36110-2446,(334) 271-1038,32.4066,-86.2656,0
8515,h,4023 Troy Hwy,Montgomery,AL,36116,(334) 288-2245,32.3221,-86.2364,0
8516,h,5101 Vaughn Road,Montgomery,AL,36116-1152,(334) 270-8557,32.3437,-86.2217,0
8517,h,11838 Al Hwy 157,Moulton,AL,35650-1388,(256) 974-6363,34.4869,-87.2757,0
8518,h,503 W Avalon Avenue,Muscle Shoals,AL,35661-2811,(256) 389-8151,34.7449,-87.6667,0
8519,h,10139 Highway 431 S,New Hope,AL,35760,(256) 723-5988,34.5509,-86.4331,0
8520,h,12001 Highway 43 N,Northport,AL,35475-4419,(205) 333-9194,33.3019,-87.6,0
8521,h,5525 McFarland Blvd,Northport,AL,35476-2379,(205) 330-0180,33.2356,-87.6101,0
8522,h,606 Second Avenue East,Oneonta,AL,35121,(205) 274-0076,33.9485,-86.4721,0
8523,h,2530 Pepperell Pkwy,Opelika,AL,36801,(334) 749-3678,32.6371,-85.4158,0
8524,h,1902 Marvyn Pkwy,Opelika,AL,36804-7419,(334) 749-5862,32.6297,-85.3718,0
8525,h,Hwy 331 & Hwy 52,Opp,AL,36467,(334) 493-3314,31.2615,-86.259,0
8526,h,700 Quintard Dr.,Oxford,AL,36203-1842,(256) 831-3451,33.614,-85.8278,0
8527,h,1333 Andrews Ave,Ozark,AL,36360-3717,(334) 774-4812,31.438,-85.6655,0
8528,h,2401 North Hospital Drive,Pell City,AL,35125,(205) 884-3700,33.604,-86.2801,0
8529,h,1300 280 Bypass,Phenix City,AL,36867,(334) 298-5713,32.476,-85.0301,1
8530,h,6670 Hwy 75,Pinson,AL,35126,(205) 681-1443,33.6972,-86.68,0
8531,h,2525 Cobbs Ford Road,Prattville,AL,36066,(334) 285-7549,32.4605,-86.3913,0
8532,h,700 E Main St,Prattville,AL,36067,(334) 365-3065,32.4599,-86.4565,0
8533,h,104 McCurdy Avenue,Rainsville,AL,35986,(256) 638-2240,34.4953,-85.8463,0
8534,h,16191 Highway 72,Rogersville,AL,35652-8118,(256) 247-1327,34.8237,-87.2915,0
8535,h,1016 Highway 43,Saraland,AL,36571,(251) 679-0658,30.8312,-88.094,0
8536,h,821 S Broad St,Scottsboro,AL,35768,(256) 574-6722,34.6653,-86.0348,0
8537,h,23470 John T Reid Pkwy,Scottsboro,AL,35768-2350,(256) 259-6364,34.6534,-86.0249,0
8538,h,1303 E. Highland Ave,Selma,AL,36703,(334) 872-8351,32.4316,-87.0196,0
8539,h,Highway 78 Sumiton Plaza,Sumiton,AL,35148,(205) 648-6742,33.7529,-87.0464,0
8540,h,42471 Us Hwy 280,Sylacauga,AL,35150,(256) 245-7657,33.1559,-86.2699,0
8541,h,Ala Hwy 14 & Patton St,Tallassee,AL,36078,(334) 283-4635,32.552,-85.9171,0
8542,h,5796 Twin Oaks Sh Ctr,Theodore,AL,36582,(251) 653-8422,30.5334,-88.1788,0
8543,h,Us 43 & Nichol Street,Thomasville,AL,36784,(334) 636-2850,31.913,-87.7411,0
8544,h,1102 Us 31 South,Troy,AL,36081,(334) 566-0609,31.833,-85.9466,0
8545,h,111 South Chalkville Road,Trussville,AL,35173,(205) 655-4215,33.6184,-86.6077,0
8546,h,611 15th St East,Tuscaloosa,AL,35401-3233,(205) 345-5262,33.1972,-87.5285,0
8547,h,2515 Paul Bryant Drive,Tuscaloosa,AL,35401-2212,(205) 349-1313,33.2044,-87.5681,0
8548,h,929 Skyland Blvd East,Tuscaloosa,AL,35405,(205) 345-2184,33.1679,-87.5235,0
8549,h,6718 Hwy 69 S,Tuscaloosa,AL,35405-6435,(205) 366-0299,33.1464,-87.5444,0
8550,h,419 Hwy 43 S.,Tuscumbia,AL,35674,(256) 383-9338,34.7095,-87.6674,0
8551,h,1449 Montgomery Hwy,Vestavia Hills,AL,35216,(205) 822-0947,33.42,-86.7998,0
8552,h,280 Warrior/Jasper Road,Warrior,AL,35180,(205) 647-7372,33.7849,-86.8959,1
8553,h,5091 Us Hwy 231,Wetumpka,AL,36092,(334) 567-7035,32.5156,-86.2122,0
